team_inning,battingPos,name,out/notout,runs,balls,fours,sixes,sr,Match,Match_id
India,1,Rohit Sharma (c),out,47,31,4,3,151.61,India vs Australia,ODI # 4705
India,2,Shubman Gill,out,4,7,0,0,57.14,India vs Australia,ODI # 4705
India,3,Virat Kohli,out,54,63,4,0,85.71,India vs Australia,ODI # 4705
India,4,Shreyas Iyer,out,4,3,1,0,133.33,India vs Australia,ODI # 4705
India,5,KL Rahul ,out,66,107,1,0,61.68,India vs Australia,ODI # 4705
India,6,Ravindra Jadeja,out,9,22,0,0,40.90,India vs Australia,ODI # 4705
India,7,Suryakumar Yadav,out,18,28,1,0,64.28,India vs Australia,ODI # 4705
India,8,Mohammed Shami,out,6,10,1,0,60.00,India vs Australia,ODI # 4705
India,9,Jasprit Bumrah,out,1,3,0,0,33.33,India vs Australia,ODI # 4705
India,10,Kuldeep Yadav,out,10,18,0,0,55.55,India vs Australia,ODI # 4705
India,11,Mohammed Siraj,not_out,9,8,1,0,112.50,India vs Australia,ODI # 4705
Australia,1,David Warner,out,7,3,1,0,233.33,India vs Australia,ODI # 4705
Australia,2,Travis Head,out,137,120,15,4,114.16,India vs Australia,ODI # 4705
Australia,3,Mitchell Marsh,out,15,15,1,1,100.00,India vs Australia,ODI # 4705
Australia,4,Steven Smith,out,4,9,1,0,44.44,India vs Australia,ODI # 4705
Australia,5,Marnus Labuschagne,not_out,58,110,4,0,52.72,India vs Australia,ODI # 4705
Australia,6,Glenn Maxwell,not_out,2,1,0,0,200.00,India vs Australia,ODI # 4705
South Africa,1,Quinton de Kock ,out,3,14,0,0,21.42,South Africa vs Australia,ODI # 4704
South Africa,2,Temba Bavuma (c),out,0,4,0,0,0.00,South Africa vs Australia,ODI # 4704
South Africa,3,Rassie van der Dussen,out,6,31,0,0,19.35,South Africa vs Australia,ODI # 4704
South Africa,4,Aiden Markram,out,10,20,2,0,50.00,South Africa vs Australia,ODI # 4704
South Africa,5,Heinrich Klaasen,out,47,48,4,2,97.91,South Africa vs Australia,ODI # 4704
South Africa,6,David Miller,out,101,116,8,5,87.06,South Africa vs Australia,ODI # 4704
South Africa,7,Marco Jansen,out,0,1,0,0,0.00,South Africa vs Australia,ODI # 4704
South Africa,8,Gerald Coetzee,out,19,39,2,0,48.71,South Africa vs Australia,ODI # 4704
South Africa,9,Keshav Maharaj,out,4,8,0,0,50.00,South Africa vs Australia,ODI # 4704
South Africa,10,Kagiso Rabada,out,10,12,0,1,83.33,South Africa vs Australia,ODI # 4704
South Africa,11,Tabraiz Shamsi,not_out,1,5,0,0,20.00,South Africa vs Australia,ODI # 4704
Australia,1,Travis Head,out,62,48,9,2,129.16,South Africa vs Australia,ODI # 4704
Australia,2,David Warner,out,29,18,1,4,161.11,South Africa vs Australia,ODI # 4704
Australia,3,Mitchell Marsh,out,0,6,0,0,0.00,South Africa vs Australia,ODI # 4704
Australia,4,Steven Smith,out,30,62,2,0,48.38,South Africa vs Australia,ODI # 4704
Australia,5,Marnus Labuschagne,out,18,31,2,0,58.06,South Africa vs Australia,ODI # 4704
Australia,6,Glenn Maxwell,out,1,5,0,0,20.00,South Africa vs Australia,ODI # 4704
Australia,7,Josh Inglis ,out,28,49,3,0,57.14,South Africa vs Australia,ODI # 4704
Australia,8,Mitchell Starc,not_out,16,38,2,0,42.10,South Africa vs Australia,ODI # 4704
Australia,9,Pat Cummins (c),not_out,14,29,2,0,48.27,South Africa vs Australia,ODI # 4704
India,1,Rohit Sharma (c),out,47,29,4,4,162.06,India vs New Zealand,ODI # 4703
India,2,Shubman Gill,not_out,80,66,8,3,121.21,India vs New Zealand,ODI # 4703
India,3,Virat Kohli,out,117,113,9,2,103.53,India vs New Zealand,ODI # 4703
India,4,Shreyas Iyer,out,105,70,4,8,150.00,India vs New Zealand,ODI # 4703
India,5,KL Rahul ,not_out,39,20,5,2,195.00,India vs New Zealand,ODI # 4703
India,6,Suryakumar Yadav,out,1,2,0,0,50.00,India vs New Zealand,ODI # 4703
New Zealand,1,Devon Conway,out,13,15,3,0,86.66,India vs New Zealand,ODI # 4703
New Zealand,2,Rachin Ravindra,out,13,22,3,0,59.09,India vs New Zealand,ODI # 4703
New Zealand,3,Kane Williamson (c),out,69,73,8,1,94.52,India vs New Zealand,ODI # 4703
New Zealand,4,Daryl Mitchell,out,134,119,9,7,112.60,India vs New Zealand,ODI # 4703
New Zealand,5,Tom Latham ,out,0,2,0,0,0.00,India vs New Zealand,ODI # 4703
New Zealand,6,Glenn Phillips,out,41,33,4,2,124.24,India vs New Zealand,ODI # 4703
New Zealand,7,Mark Chapman,out,2,5,0,0,40.00,India vs New Zealand,ODI # 4703
New Zealand,8,Mitchell Santner,out,9,10,0,0,90.00,India vs New Zealand,ODI # 4703
New Zealand,9,Tim Southee,out,9,10,1,0,90.00,India vs New Zealand,ODI # 4703
New Zealand,10,Trent Boult,not_out,2,2,0,0,100.00,India vs New Zealand,ODI # 4703
New Zealand,11,Lockie Ferguson,out,6,3,0,1,200.00,India vs New Zealand,ODI # 4703
India,1,Rohit Sharma (c),out,61,54,8,2,112.96,India vs Netherlands,ODI # 4702
India,2,Shubman Gill,out,51,32,3,4,159.37,India vs Netherlands,ODI # 4702
India,3,Virat Kohli,out,51,56,5,1,91.07,India vs Netherlands,ODI # 4702
India,4,Shreyas Iyer,not_out,128,94,10,5,136.17,India vs Netherlands,ODI # 4702
India,5,KL Rahul ,out,102,64,11,4,159.37,India vs Netherlands,ODI # 4702
India,6,Suryakumar Yadav,not_out,2,1,0,0,200.00,India vs Netherlands,ODI # 4702
Netherlands,1,Wesley Barresi,out,4,5,0,0,80.00,India vs Netherlands,ODI # 4702
Netherlands,2,Max O'Dowd,out,30,42,3,1,71.42,India vs Netherlands,ODI # 4702
Netherlands,3,Colin Ackermann,out,35,32,6,0,109.37,India vs Netherlands,ODI # 4702
Netherlands,4,Sybrand Engelbrecht,out,45,80,4,0,56.25,India vs Netherlands,ODI # 4702
Netherlands,5,Scott Edwards (c),out,17,30,1,0,56.66,India vs Netherlands,ODI # 4702
Netherlands,6,Bas de Leede,out,12,21,1,0,57.14,India vs Netherlands,ODI # 4702
Netherlands,7,Teja Nidamanuru,out,54,39,1,6,138.46,India vs Netherlands,ODI # 4702
Netherlands,8,Logan van Beek,out,16,15,2,0,106.66,India vs Netherlands,ODI # 4702
Netherlands,9,Roelof van der Merwe,out,16,8,1,2,200.00,India vs Netherlands,ODI # 4702
Netherlands,10,Aryan Dutt,out,5,11,0,0,45.45,India vs Netherlands,ODI # 4702
Netherlands,11,Paul van Meekeren,not_out,3,4,0,0,75.00,India vs Netherlands,ODI # 4702
England,1,Dawid Malan,out,31,39,5,0,79.48,England vs Pakistan,ODI # 4701
England,2,Jonny Bairstow,out,59,61,7,1,96.72,England vs Pakistan,ODI # 4701
England,3,Joe Root,out,60,72,4,0,83.33,England vs Pakistan,ODI # 4701
England,4,Ben Stokes,out,84,76,11,2,110.52,England vs Pakistan,ODI # 4701
England,5,Jos Buttler (c),out,27,18,3,1,150.00,England vs Pakistan,ODI # 4701
England,6,Harry Brook,out,30,17,2,2,176.47,England vs Pakistan,ODI # 4701
England,7,Moeen Ali,out,8,6,0,1,133.33,England vs Pakistan,ODI # 4701
England,8,Chris Woakes,not_out,4,4,1,0,100.00,England vs Pakistan,ODI # 4701
England,9,David Willey,out,15,5,2,1,300.00,England vs Pakistan,ODI # 4701
England,10,Gus Atkinson,out,0,1,0,0,0.00,England vs Pakistan,ODI # 4701
England,11,Adil Rashid,not_out,0,1,0,0,0.00,England vs Pakistan,ODI # 4701
Pakistan,1,Abdullah Shafique,out,0,2,0,0,0.00,England vs Pakistan,ODI # 4701
Pakistan,2,Fakhar Zaman,out,1,9,0,0,11.11,England vs Pakistan,ODI # 4701
Pakistan,3,Babar Azam (c),out,38,45,6,0,84.44,England vs Pakistan,ODI # 4701
Pakistan,4,Mohammad Rizwan ,out,36,51,2,0,70.58,England vs Pakistan,ODI # 4701
Pakistan,5,Saud Shakeel,out,29,37,4,0,78.37,England vs Pakistan,ODI # 4701
Pakistan,6,Agha Salman,out,51,45,6,1,113.33,England vs Pakistan,ODI # 4701
Pakistan,7,Iftikhar Ahmed,out,3,5,0,0,60.00,England vs Pakistan,ODI # 4701
Pakistan,8,Shadab Khan,out,4,7,1,0,57.14,England vs Pakistan,ODI # 4701
